TEMPERATURE	RESISTIVITY	SECOND_DERIV_RES
228.921	1.225903615	-0.008753761
228.5654	1.229453822	-0.008894
228.1965	1.23304319	-0.008921289
227.8436	1.235892533	-0.00888682
227.4785	1.238565965	-0.00904299
227.1246	1.242435133	-0.009320248
226.7648	1.245754782	-0.009433564
226.4014	1.24928356	-0.009442842
226.0383	1.252414594	-0.009547275
225.6805	1.255632291	-0.009769463
225.3221	1.259535013	-0.009959151
224.9677	1.263595718	-0.009952572
224.6051	1.266608428	-0.010019522
224.2464	1.27027022	-0.010193356
223.8802	1.274027362	-0.010352978
223.5272	1.277668445	-0.010502923
223.1675	1.281530589	-0.010527887
222.812	1.285356381	-0.010620875
222.4535	1.289042482	-0.010884667
222.0867	1.29318038	-0.011036354
221.7358	1.296998569	-0.011084186
221.3708	1.301336979	-0.011259038
221.0056	1.305304042	-0.011425208
220.6495	1.309317911	-0.011557482
220.2972	1.313416363	-0.011754735
219.9266	1.31778933	-0.011923641
219.5648	1.322084086	-0.012077646
219.2127	1.326514897	-0.012299015
218.8651	1.330930767	-0.012488449
218.493	1.335353511	-0.012637977
218.136	1.339961745	-0.012766231
217.7743	1.344768822	-0.012899876
217.4206	1.349225848	-0.013065264
217.0564	1.354116774	-0.013232732
216.6936	1.35895194	-0.013421402
216.328	1.36352664	-0.013640066
215.9836	1.368506471	-0.013857302
215.62	1.373516517	-0.01409803
215.2642	1.378684451	-0.014357515
214.8969	1.38400546	-0.014556421
214.5426	1.38919548	-0.014761029
214.1774	1.394591748	-0.015059445
213.8227	1.399996679	-0.015282924
213.4578	1.405769668	-0.015517492
213.1068	1.411117063	-0.015845836
212.7389	1.416774696	-0.016083799
212.3954	1.4223755	-0.01636294
212.0163	1.42882617	-0.016746263
211.6605	1.434969597	-0.017011455
211.3011	1.440947422	-0.017175685
210.9535	1.44715453	-0.017485842
210.5847	1.45356492	-0.017800604
210.2164	1.459927333	-0.018034946
209.8838	1.466412109	-0.018320115
209.5154	1.47301918	-0.018685391
209.1496	1.479406481	-0.01906501
208.7825	1.486704712	-0.019364722
208.4309	1.49396318	-0.019784015
208.067	1.500964999	-0.02028849
207.7144	1.508443924	-0.020721472
207.3485	1.516015197	-0.021299743
206.9836	1.5238362	-0.021860441
206.6299	1.531299991	-0.022307276
206.2739	1.539547618	-0.022840112
205.9106	1.54833263	-0.023546932
205.5576	1.556583	-0.024257799
205.1929	1.565613334	-0.025040115
204.8332	1.574751545	-0.025926293
204.4672	1.584029516	-0.026853495
204.1192	1.593968262	-0.027814999
203.7498	1.604126714	-0.028972834
203.3938	1.61492029	-0.030448892
203.03	1.625881644	-0.031958726
202.6794	1.637557016	-0.033543691
202.3127	1.649585691	-0.035119699
201.9553	1.662672146	-0.036493971
201.5896	1.676035665	-0.037698702
201.2418	1.690206727	-0.038762049
200.8724	1.704460935	-0.03959058
200.524	1.7187848	-0.040169386
200.1649	1.733344191	-0.040661644
199.7978	1.748152987	-0.041224399
199.4373	1.762796044	-0.041775583
199.081	1.777447946	-0.042248142
198.7265	1.792644568	-0.042742291
198.3532	1.808301818	-0.043400627
198.0059	1.82383975	-0.044247847
197.6481	1.84020402	-0.045146723
197.288	1.857101948	-0.04599639
196.9208	1.873290819	-0.046750047
196.5572	1.890253921	-0.04738163
196.2009	1.906907514	-0.047979513
195.8484	1.92480858	-0.048398495
195.4826	1.942399636	-0.048656561
195.1289	1.95969618	-0.048935128
194.7676	1.977594921	-0.049340068
194.414	1.994914074	-0.049544824
194.0538	2.012807811	-0.049535829
193.6899	2.030703913	-0.049512282
193.3231	2.04867667	-0.049496351
192.9723	2.066042421	-0.049670976
192.6082	2.08432797	-0.049704754
192.2486	2.102544414	-0.049750125
191.886	2.120184023	-0.049917962
191.5303	2.138165187	-0.049866669
191.1633	2.156107269	-0.049844442
190.8125	2.173556505	-0.049861759
190.4589	2.191748493	-0.049651634
190.0865	2.209483786	-0.049464819
189.7391	2.227416659	-0.049296105
189.3709	2.245120076	-0.049028543
189.0217	2.261852038	-0.04893458
188.6557	2.280520606	-0.048448742
188.3016	2.29710721	-0.048035766
187.9314	2.314581995	-0.047995317
187.5816	2.331648982	-0.047524984
187.2121	2.348763099	-0.047100314
186.8641	2.365756841	-0.046780374
186.4979	2.382677557	-0.046300962
186.1314	2.398366916	-0.046049475
185.7869	2.416382902	-0.045783285
185.4178	2.431262099	-0.045246083
185.0577	2.447650655	-0.044704375
184.7017	2.463669352	-0.044166787
184.3465	2.479574697	-0.043782239
183.9816	2.495565838	-0.043443904
183.6281	2.511000375	-0.042762676
183.2581	2.526241682	-0.042491893
182.8957	2.541516182	-0.042266949
182.5433	2.555949874	-0.041657287
182.1925	2.571092632	-0.041199659
181.8156	2.586373829	-0.040714183
181.4555	2.600981367	-0.040223251
181.0985	2.615264875	-0.039741077
180.7468	2.629575562	-0.039157689
180.3819	2.643421886	-0.038422331
180.0247	2.657029753	-0.03769048
179.6679	2.67000577	-0.037093514
179.3093	2.683353832	-0.036495042
178.9452	2.696388307	-0.035726986
178.5866	2.709316732	-0.034911114
178.2302	2.721516815	-0.034186986
177.869	2.733889684	-0.033550739
177.5103	2.746050722	-0.032813848
177.1578	2.75740341	-0.031980809
176.7867	2.768749005	-0.031201301
176.4287	2.779648301	-0.030517498
176.0619	2.790689463	-0.029826116
175.7125	2.801261834	-0.029104746
175.3587	2.811576097	-0.028399661
174.9896	2.821564986	-0.027748076
174.6338	2.831554368	-0.027162019
174.2688	2.841410096	-0.026414253
173.9182	2.850548794	-0.025468855
173.5576	2.859294605	-0.024608588
173.1947	2.868288976	-0.023795357
172.8331	2.876748678	-0.022852991
172.4776	2.884806295	-0.021824156
172.1176	2.892802848	-0.021072018
171.7559	2.899783474	-0.020698787
171.4052	2.907049336	-0.020434886
171.0357	2.914505622	-0.020177491
170.6712	2.92101133	-0.019880858
170.3192	2.927566453	-0.019466265
169.9636	2.935096076	-0.018864309
169.5998	2.942784046	-0.018106755
169.2454	2.949402271	-0.017130888
168.8804	2.955335683	-0.015930768
168.5304	2.960742592	-0.014686298
168.1617	2.965240244	-0.013282502
167.804	2.969506904	-0.011714767
167.4474	2.973185386	-0.010364297
167.0843	2.976898841	-0.009314176
166.7218	2.980215723	-0.008302478
166.3647	2.982917982	-0.007141886
166.0143	2.985621088	-0.006125063
165.6469	2.987842249	-0.005380511
165.2926	2.989598576	-0.004674532
164.9314	2.991060989	-0.004041063
164.5757	2.991716123	-0.003301282
164.2067	2.992279924	-0.002498187
163.849	2.992958321	-0.001703659
163.4874	2.994600561	-0.000754
163.1322	2.995210432	0.000273
162.7821	2.994887811	0.001272774
162.4172	2.994237149	0.002419221
162.0558	2.992255781	0.00369589
161.6931	2.991046872	0.005035271
161.3433	2.988751401	0.006406112
160.9784	2.985909999	0.007473815
160.6216	2.983469311	0.008311313
160.2535	2.980436415	0.009181746
159.9066	2.976663882	0.010084351
159.5299	2.973445603	0.01095027
159.175	2.969045259	0.011700296
158.8192	2.964834549	0.012436165
158.4641	2.960014801	0.013458081
158.0926	2.954789763	0.014385067
157.7378	2.949510907	0.015066199
157.3885	2.944203909	0.01594149
157.018	2.938809838	0.01681164
156.6662	2.932302862	0.017596281
156.3012	2.925566773	0.018541493
155.9457	2.918379604	0.019561309
155.5801	2.912057749	0.020397245
155.2278	2.904359116	0.021396139
154.864	2.896267469	0.02244857
154.5067	2.888107769	0.023182927
154.1394	2.879640307	0.023904634
153.7888	2.870525881	0.024709977
153.4215	2.861855068	0.025512831
